USDT-BTC,time,USDT-ETH
4175.0,2017-10-05 01:25:00+00:00,290.82000001
4173.42968,2017-10-05 01:26:00+00:00,290.411
4176.69804656,2017-10-05 01:27:00+00:00,290.411
4177.4,2017-10-05 01:28:00+00:00,290.43
4178.2,2017-10-05 01:29:00+00:00,290.43
4175.0,2017-10-05 01:30:00+00:00,290.44
4165.0,2017-10-05 01:31:00+00:00,290.0
4160.0,2017-10-05 01:32:00+00:00,289.79500025
4186.34471578,2017-10-05 01:33:00+00:00,290.0
4177.0,2017-10-05 01:35:00+00:00,290.1
4177.0,2017-10-05 01:36:00+00:00,290.11
4175.99,2017-10-05 01:37:00+00:00,290.0
4176.0,2017-10-05 01:38:00+00:00,290.0
4160.0,2017-10-05 01:39:00+00:00,289.79500025
4176.76,2017-10-05 01:40:00+00:00,289.79
4160.01000001,2017-10-05 01:41:00+00:00,289.79500025
4160.01000004,2017-10-05 01:42:00+00:00,289.0000001
4155.10000001,2017-10-05 01:44:00+00:00,289.0
4165.0,2017-10-05 01:45:00+00:00,289.0
4156.10000003,2017-10-05 01:46:00+00:00,289.0
4156.10000003,2017-10-05 01:47:00+00:00,289.0
4156.10000003,2017-10-05 01:48:00+00:00,289.0
4158.76,2017-10-05 01:49:00+00:00,289.0
4154.76000002,2017-10-05 01:50:00+00:00,289.0
4154.76,2017-10-05 01:51:00+00:00,289.01
4154.76000001,2017-10-05 01:52:00+00:00,289.19089449
4154.76,2017-10-05 01:53:00+00:00,289.19089449
4154.76000001,2017-10-05 01:54:00+00:00,289.01
4164.76,2017-10-05 01:56:00+00:00,290.99999992
4154.76,2017-10-05 01:57:00+00:00,289.001
4163.9,2017-10-05 02:00:00+00:00,289.3001
4159.2,2017-10-05 02:01:00+00:00,289.3001
4159.2,2017-10-05 02:02:00+00:00,289.3001
4150.0,2017-10-05 02:03:00+00:00,289.40349507
4149.57726315,2017-10-05 02:04:00+00:00,289.0
4149.54726315,2017-10-05 02:05:00+00:00,288.70000001
4146.0,2017-10-05 02:06:00+00:00,288.9
4146.0,2017-10-05 02:07:00+00:00,288.70000001
4140.50207001,2017-10-05 02:08:00+00:00,288.7
4148.99999999,2017-10-05 02:09:00+00:00,288.0
4140.40207,2017-10-05 02:10:00+00:00,287.96788049
4141.00000001,2017-10-05 02:11:00+00:00,287.7
4149.1,2017-10-05 02:12:00+00:00,287.5
4139.0,2017-10-05 02:13:00+00:00,287.7
4136.59028204,2017-10-05 02:14:00+00:00,287.50000002
4129.0,2017-10-05 02:15:00+00:00,287.01357131
4126.0,2017-10-05 02:16:00+00:00,287.00100001
4127.0,2017-10-05 02:17:00+00:00,287.831
4125.03000001,2017-10-05 02:18:00+00:00,286.99
4127.0,2017-10-05 02:19:00+00:00,286.92
4122.0,2017-10-05 02:20:00+00:00,286.53553
4127.00000004,2017-10-05 02:21:00+00:00,287.0
4138.0,2017-10-05 02:22:00+00:00,287.0
4138.0,2017-10-05 02:23:00+00:00,286.9
4131.00000001,2017-10-05 02:24:00+00:00,286.9
4135.0,2017-10-05 02:25:00+00:00,287.0
4138.0,2017-10-05 02:26:00+00:00,287.01
4139.152,2017-10-05 02:27:00+00:00,287.01
4131.00000009,2017-10-05 02:28:00+00:00,287.01
4137.0,2017-10-05 02:29:00+00:00,287.57400002
4138.0,2017-10-05 02:30:00+00:00,287.57400002
4141.0,2017-10-05 02:31:00+00:00,287.6
4138.0,2017-10-05 02:32:00+00:00,287.95086774
4141.0,2017-10-05 02:33:00+00:00,287.96086774
4142.0,2017-10-05 02:34:00+00:00,288.4
4141.0,2017-10-05 02:35:00+00:00,288.5001
4150.0,2017-10-05 02:36:00+00:00,288.52
4149.0,2017-10-05 02:37:00+00:00,289.26
4145.0,2017-10-05 02:38:00+00:00,288.52011
4149.0,2017-10-05 02:39:00+00:00,288.52011
4149.0,2017-10-05 02:40:00+00:00,288.52
4141.0,2017-10-05 02:41:00+00:00,288.52
4149.0,2017-10-05 02:42:00+00:00,288.5
4148.000789,2017-10-05 02:43:00+00:00,288.42
4135.0,2017-10-05 02:44:00+00:00,288.5
4136.00000002,2017-10-05 02:45:00+00:00,288.5
4148.000789,2017-10-05 02:46:00+00:00,287.12000004
4150.00000023,2017-10-05 02:47:00+00:00,289.0
4157.823,2017-10-05 02:49:00+00:00,288.0
4159.1,2017-10-05 02:50:00+00:00,288.0
4159.1,2017-10-05 02:51:00+00:00,288.1
4148.000789,2017-10-05 02:52:00+00:00,288.1
4168.0,2017-10-05 02:56:00+00:00,289.00999999
4165.000789,2017-10-05 02:57:00+00:00,289.00999999
4167.9999999,2017-10-05 02:58:00+00:00,289.01
4167.9999999,2017-10-05 03:00:00+00:00,289.27
4167.9999999,2017-10-05 03:01:00+00:00,289.00999999
4159.0,2017-10-05 03:03:00+00:00,289.00999999
4155.0,2017-10-05 03:04:00+00:00,289.00999999
4148.000789,2017-10-05 03:05:00+00:00,289.27
4140.0,2017-10-05 03:06:00+00:00,289.00999999
4141.00000001,2017-10-05 03:07:00+00:00,289.00999999
4145.0,2017-10-05 03:08:00+00:00,289.00999999
4141.00000002,2017-10-05 03:09:00+00:00,289.00999999
4145.0,2017-10-05 03:10:00+00:00,289.00999999
4141.00000002,2017-10-05 03:11:00+00:00,289.00999999
4136.00000002,2017-10-05 03:12:00+00:00,288.01
4130.20000001,2017-10-05 03:13:00+00:00,288.00001
4131.20000009,2017-10-05 03:14:00+00:00,288.0
4133.00000031,2017-10-05 03:15:00+00:00,287.01000015
4135.99,2017-10-05 03:16:00+00:00,287.5
4136.00000002,2017-10-05 03:18:00+00:00,287.50000001
4133.00000033,2017-10-05 03:20:00+00:00,287.5
4133.00000033,2017-10-05 03:21:00+00:00,287.5
4131.00000033,2017-10-05 03:22:00+00:00,287.5
4133.0,2017-10-05 03:25:00+00:00,287.02000002
4130.2000001,2017-10-05 03:28:00+00:00,287.02000004
4136.00000002,2017-10-05 03:29:00+00:00,287.02000004
4145.0,2017-10-05 03:30:00+00:00,287.02000004
4139.00002,2017-10-05 03:32:00+00:00,288.58999999
4144.0,2017-10-05 03:34:00+00:00,288.58999999
4147.0,2017-10-05 03:35:00+00:00,288.5
4144.0,2017-10-05 03:36:00+00:00,288.58999999
4146.0,2017-10-05 03:37:00+00:00,288.0
4147.0,2017-10-05 03:38:00+00:00,288.0
4147.0,2017-10-05 03:39:00+00:00,288.0
4147.0,2017-10-05 03:40:00+00:00,288.0
4147.0,2017-10-05 03:41:00+00:00,288.0
4135.00000014,2017-10-05 03:42:00+00:00,288.0
4135.00000012,2017-10-05 03:43:00+00:00,288.0
4136.00000004,2017-10-05 03:44:00+00:00,288.0
4137.00000001,2017-10-05 03:45:00+00:00,288.0
4137.10000001,2017-10-05 03:46:00+00:00,287.22000002
4146.0,2017-10-05 03:47:00+00:00,287.22000002
4138.10000003,2017-10-05 03:50:00+00:00,287.22000002
4136.0,2017-10-05 03:54:00+00:00,288.0
4136.0,2017-10-05 03:55:00+00:00,288.0
4138.0,2017-10-05 03:56:00+00:00,288.0
4129.00079,2017-10-05 03:57:00+00:00,288.0
4137.0,2017-10-05 03:58:00+00:00,287.22000002
4129.00079001,2017-10-05 03:59:00+00:00,287.22000002
4130.0,2017-10-05 04:00:00+00:00,287.22
4129.00078999,2017-10-05 04:01:00+00:00,287.02000003
4129.20007905,2017-10-05 04:02:00+00:00,287.02000003
4129.23007914,2017-10-05 04:03:00+00:00,287.02000003
4137.0,2017-10-05 04:04:00+00:00,289.28999967
4137.0,2017-10-05 04:05:00+00:00,287.02000003
4130.0,2017-10-05 04:06:00+00:00,287.02000003
4138.0,2017-10-05 04:10:00+00:00,287.0663677
4132.00000028,2017-10-05 04:11:00+00:00,287.69
4144.8,2017-10-05 04:12:00+00:00,287.69
4144.8,2017-10-05 04:13:00+00:00,287.69
4140.00000039,2017-10-05 04:15:00+00:00,288.5
4144.8,2017-10-05 04:16:00+00:00,289.282
4139.0,2017-10-05 04:17:00+00:00,287.69
4147.0,2017-10-05 04:18:00+00:00,287.69
4150.0,2017-10-05 04:19:00+00:00,287.03700024
4149.00000004,2017-10-05 04:21:00+00:00,287.03900127
